time,fea,fea,fea,fea,fea,fea,fea,fea,fea,fea,fea,fea,fea,fea,y
1323737960,0,2,3,6,1.463537,177,198,69.5,5,0.019242,32,35.5,19.216727,1,1
1323818242,0,1,1,3,1.045272,87,87,59.333333,2,0.916292,10,34,152.366876,35,1
1323818244,0,1,1,3,0.882002,118,73,89,5,0.80451,27,42,1.774237,43,1
1323821846,0,1,1,3,1.359331,21,4,114.666667,5,0.109614,16,39,9.049293,40,1
1323824569,0,1,1,2,0.978218,150,150,125,3,0.041053,9,4.5,19.26896,5,1
1323824570,0,1,1,1,0,5,6,58,5,0.022928,3,20,44.614336,15,1
1323824573,0,1,3,3,0.323939,56,6,27.333333,5,0.153137,9,17,4.543573,13,1
1323824573,0,1,1,2,0.878289,168,37,115.5,5,0.545758,18,6.5,1.990695,7,1
1323824578,0,1,1,2,0.829329,255,1,7.5,3,0.008414,5,0.5,30.211142,1,1
1323825731,1,2,2,2,0.780121,63,110,153,5,0.380023,7,8.5,35.434242,8,1
1323826244,0,1,1,1,0,117,107,195,5,0.044352,6,48,23.546973,48,1
1323902878,0,1,1,2,0.684038,10,1,113.5,5,0.029936,34,49.5,106.429705,42,1
1323902883,0,1,1,1,0,1,1,146,5,0.049572,20,48,21.172776,40,1
1323902885,0,1,1,4,1.41321,68,4,99.5,5,0.392144,41,45.5,1.560257,39,1
1323908275,0,1,1,2,0.276195,59,4,89.5,5,0.019392,26,56.5,29.856197,49,1
1323987770,0,1,1,2,0.303375,40,34,317.5,5,0.018409,43,49.5,35.122718,48,1
1323987775,0,2,2,3,1.011457,134,59,100,5,1.368268,11,41,18.20309,3,1
1323988276,0,2,2,2,0.938036,169,130,264.5,5,0.113264,18,46.5,30.793442,45,1
1323988280,0,2,2,2,0.80531,100,34,287,5,0.892726,22,48.5,1.857134,46,1
1323989960,0,1,1,1,0,45,0,128,5,0.000648,28,48,1543.857143,46,1
1323997025,0,1,1,1,0,37,16,619,5,0.01338,18,51,75.740484,49,1
1323997028,0,1,1,2,0.822404,22,13,299.5,5,0.009248,33,16.5,82.101377,15,1
1323997032,0,1,1,2,0.96916,161,38,238,5,0.008565,31,14.5,228.354327,13,1
1324001211,0,1,1,4,1.893227,92,4,161,6,0.557595,66,10.5,1.672932,3,1
1324016083,0,2,2,2,0.430552,13,21,445.5,5,0.214948,33,52.5,4.787139,48,1
1324016086,0,1,8,29,0.998189,5173,112,208.275862,5,3.490445,99,32,7.588698,44,1
1324016086,0,1,1,1,0,199,71,506,5,0.002315,16,50,433,3,1
1324016087,1,2,2,3,1.312928,153,54,319.333333,5,0.02576,63,67,25.564848,5,1
1324016088,0,1,1,2,0.984883,77,96,134.5,3,0.094051,7,2.5,8.974403,3,1
1324016088,1,1,1,1,0,21,23,640,5,0.068437,19,53,15.611872,50,1
1324016724,1,2,2,2,0.266011,134,131,441.5,5,0.030012,35,54.5,25.990359,49,1
1324055110,1,2,2,2,0.981808,156,27,442,5,0.058374,38,57.5,14.429469,50,1
1324079325,1,2,2,2,0.200622,153,7,505.5,5,0.09342,43,62.5,10.47281,52,1
1324264219,0,1,1,6,1.577711,356,354,226.833333,6,0.354495,104,97.5,1.957393,89,1
1324307371,1,1,1,1,0,7,2,296,6,2.02191,5,22,1.494582,11,1
1324325810,0,1,1,1,0,50,44,351,6,0.006181,9,29,162.797753,18,1
1324402677,0,1,1,1,0,6,7,248,6,0.098819,1,103,11.119466,90,1
1324404105,0,2,2,2,0.088474,169,10,348,6,1.532101,15,70.5,5.713417,54,1
1324404109,0,2,3,3,0.747585,26,14,93.666667,6,0.02723,4,107,23.31877,12,1
1324426172,1,1,1,5,1.541868,36,18,95.8,5,0.039449,49,53,9.296272,47,1
1324426398,0,2,3,11,2.15383,965,313,238.090909,6,1.729796,170,59,1.162508,3,1
1324426400,0,1,1,1,0,18,55,813,6,0.072998,37,79,14.699065,21,1
1324429443,0,1,1,1,0,3,3,502,6,0.080093,21,42,13.485549,31,1
1324429446,0,2,2,2,0.322757,50,1,352,6,0.191725,29,77.5,5.640377,57,1
1324447460,0,1,1,1,0,79,116,205,5,0.032176,8,51,32.079137,51,1
1324489938,0,1,1,1,0,60,64,502,6,0.048565,22,76,21.591039,19,1
1324489941,0,1,1,2,0.104419,43,30,556,6,0.574086,36,40.5,2.306425,30,1
1324489943,0,1,2,5,1.094841,121,30,404.6,6,1.099537,74,33,11.573981,24,1
1324489945,1,2,3,4,1.303941,74,50,207.25,6,1.030784,46,82.5,7.776198,60,1
1325636042,0,1,5,8,0.365047,169,0,9.125,6,0.004939,11,3.5,23.019112,7,1
1325636046,0,1,2,4,0.468167,26,0,179,6,0.25024,7,67.5,0.49976,7,1
1325892285,0,1,1,1,0,31,27,343,6,0.439583,47,90,3.274882,79,1
1325892286,0,1,1,1,0,22,12,349,6,0.016319,49,92,62.276596,81,1
1325892288,0,1,1,1,0,27,26,220,6,0.02066,40,75,49.403361,64,1
1325892289,0,1,2,7,1.885304,227,30,141.142857,6,0.302548,93,83,3.692637,75,1
1325892289,0,1,1,3,0.441041,54,0,157.333333,6,2.285779,63,25,1.221872,15,1
1325892289,0,1,1,1,0,11,0,123,6,1.133935,54,44,1.881885,33,1
1325892291,0,1,1,1,0,32,27,97,2,2.822002,3,32,1.354358,32,1
1325892291,0,1,1,1,0,2,2,148,6,0.541181,57,47,2.847812,36,1
1325892291,0,1,2,3,1.197176,133,2,165.666667,6,0.02412,95,75,30.580572,64,1
1325892293,0,1,1,2,0.591673,83,29,183,6,0.020046,50,87.5,38.413395,77,1
1325892293,0,1,1,1,0,17,3,134,6,0.019641,55,45,51.913377,34,1
1325901516,0,1,2,3,1.554608,30,19,161.333333,6,0.066366,118,86,7.073637,75,1
1325901516,1,1,1,1,0,143,143,213,6,0.012303,67,58,82.279398,57,1
1325901519,0,1,1,1,0,2,2,89,5,0.040787,13,37,25.517594,37,1
1325901521,0,1,1,2,0.970951,5,5,368,6,0.358872,66,93.5,2.522727,83,1
1326008013,0,2,4,19,3.18489,2356,2213,219.315789,6,11.723247,252,57,1.012539,18,1
1326008017,0,1,1,1,0,2,2,38,6,0.011771,2,0,0,0,1
1326141762,0,1,1,4,1.712991,91,30,224.75,6,0.353854,116,93.5,1.471615,29,1
1326141765,0,1,1,3,1.20017,123,22,272.333333,6,0.960548,97,97,1.583557,32,1
1326141768,0,1,1,4,1.541153,128,149,243.25,6,1.415975,110,102.5,1.262042,38,1
1326153736,1,1,1,1,0,158,158,214,6,0.088275,69,71,12.328176,70,1
1326163686,1,1,1,1,0,2,4,357,6,0.003218,10,30,311.791367,19,1
1326163687,0,1,1,4,1.545312,40,5,378,6,0.012431,58,67.5,42.899441,68,1
1326163688,1,1,1,5,0.989407,129,45,268.6,7,0.135456,144,81,5.355347,82,1
1326163691,1,2,2,2,0.194392,56,44,413.5,6,0.367789,21,73.5,19.283649,55,1
1326163692,1,1,1,1,0,1,0,648,6,0.002361,21,70,424.529412,69,1
1326163693,0,1,1,4,1.523342,121,63,363.5,6,0.548918,54,63.5,7.65209,64,1
1326238116,0,1,1,1,0,16,1,618,6,0.106539,36,107,10.386203,41,1
1326329827,0,1,1,5,1.700364,130,45,186.2,8,0.040333,140,98,9.156053,88,1
1326329830,0,1,1,3,0.660042,221,0,71,6,0.006181,68,60,18.310861,60,1
1326329831,0,1,1,5,1.611124,136,47,348.6,8,0.765697,87,103,1.510231,93,1
1326413698,0,1,1,3,0.946686,58,6,349.333333,6,0.312029,39,20,13.955149,10,1
1326416854,0,1,1,1,0,148,142,195,8,0.065903,6,120,16.173867,108,1
1326466288,0,1,1,1,0,1,1,235,8,0.097187,85,48,11.289389,48,1
1326480255,0,1,1,2,0.94566,43,12,180,7,0.032784,42,90.5,17.720509,79,1
1326480256,0,1,1,3,1.484358,95,74,369.333333,7,0.645062,38,89,1.692027,89,1
1326480263,0,1,2,4,1.279586,28,5,162.5,7,0.441745,55,93.5,10.201915,83,1
1326480263,0,1,1,3,1.526515,209,265,369,8,0.096439,43,93,6.772712,93,1
1326487181,0,1,1,3,1.497859,48,53,371.666667,8,0.060984,50,112,11.131268,101,1
1326487185,0,1,2,3,0.853658,39,22,267,8,0.477631,36,116,1.930518,105,1
1326743537,0,2,2,3,1.406936,218,220,226.333333,8,0.679456,34,140,256.784831,20,1
1326749277,1,1,2,5,1.905924,58,2,82.8,8,1.260796,143,31,1.163949,33,1
1326749278,1,1,1,2,0.996792,13,2,188,6,2.698449,104,16.5,1.278447,17,1
1326753603,0,2,2,3,0.905796,29,68,257,7,0.737751,30,10,1.843148,1,1
1326755435,0,1,1,1,0,1,0,239,8,0.332836,90,126,4.004486,113,1
1326841142,0,1,1,1,0,1,1,23,8,0.160961,9,149,7.212699,91,1
1326841144,0,1,1,1,0,109,0,0,1,0,0,124,0,12,1
1326841144,0,1,2,4,0,56,51,27.25,1,0.00625,1,128.5,10.25,16,1
1326841145,0,1,1,2,0.483911,50,55,194,8,2.037512,25,146.5,1.250337,90,1
1326852869,1,1,1,4,0.962955,110,65,306.25,7,0.077101,146,85.5,8.391764,86,1
1326852871,1,1,1,1,0,11,8,642,8,0.672546,35,100,2.486886,97,1
1326934563,1,1,2,5,0.918332,147,29,215.2,8,0.944199,173,115,1.455593,114,1
1326990640,0,1,1,1,0,37,22,133,8,0.193495,6,156,6.168082,23,1
1326999129,0,1,1,5,1.868645,239,68,585.2,8,1.46562,192,157,11.237346,62,1
1327020730,0,1,1,4,1.124185,26,22,357.5,8,1.550822,156,107.5,1.203635,106,1
1327020732,0,1,1,2,0.918296,2,1,358,8,3.926782,49,16.5,1.233761,14,1
1327020732,1,1,1,1,0,25,23,641,8,0.014167,41,154,71.588235,131,1
1327020732,0,1,1,5,1.672497,99,46,646,8,0.18762,207,170,3.763026,75,1
1327020734,0,1,1,2,0.949452,9,10,718.5,8,0.177975,78,14.5,5.214086,12,1
1327026845,0,1,1,1,0,63,54,399,8,0.041042,24,82,25.365482,61,1
1327093114,0,2,2,6,1.747693,45,37,379.833333,8,0.689715,258,197.5,1.647792,33,1
1327093115,0,2,2,4,1.548795,9,7,316.75,8,0.047054,107,206.5,16.425166,34,1
1327096207,0,1,1,3,1.405172,40,16,474.333333,8,0.185424,98,212,4.091135,177,1
1327109704,0,1,1,2,0.15935,29,14,452,8,0.007755,78,231.5,97.716418,192,1
1327110263,0,1,1,5,2.238234,68,71,516.6,8,2.259269,194,178,3.930094,83,1
1327115115,1,1,1,1,0,2,2,151,8,0.648924,14,189,2.541013,32,1
1327116258,1,1,1,1,0,3,1,141,8,0.047882,10,237,21.884699,196,1
1327190966,1,1,1,1,0,1,2,143,8,0.075775,11,241,14.196884,197,1
1327190969,0,1,1,5,1.992687,106,78,483.8,8,0.089819,167,192,14.068282,161,1
1327190969,1,1,1,1,0,15,8,105,8,0.010579,5,214,95.52954,178,1
1327190969,0,2,2,4,1.077522,25,12,328.75,8,0.068628,126,234.5,28.392548,40,1
1327259670,0,1,1,2,0.591673,6,8,710,8,0.062431,89,159.5,14.655924,135,1
1327259676,0,2,4,7,2.200959,20,25,391,8,2.203209,208,168,51.976212,28,1
1327259676,0,1,1,1,0,3,1,786,8,0.036829,57,0,0,0,1
1327259677,0,1,1,4,1.471566,42,33,542.75,8,0.188304,153,202.5,2.422053,170,1
1327259679,0,1,1,1,0,2,2,790,8,0.016273,67,229,62.450925,189,1
1327440522,1,1,1,3,1.405639,9,7,705.666667,8,0.059745,172,182,9.664883,86,1
1327709741,0,1,1,1,0,81,21,633,6,0.8761,37,108,2.141423,42,1
1327712249,0,2,2,2,0.973668,46,38,394.5,8,3.536464,58,70.5,4.876524,70,1
1327714644,0,2,3,8,1.361113,221,75,216.75,8,7.600211,266,89.5,1.029099,71,1
1327716842,1,1,1,2,0.869621,104,68,218.5,8,2.210087,21,98.5,1.411444,96,1
1327716842,0,1,1,3,1.390794,42,16,544,8,0.040401,100,164,29.297205,68,1
1328038822,1,1,1,2,0.930586,15,11,716.5,8,0.626319,76,12.5,3.975647,10,1
1328053547,0,1,1,2,0.682483,385,377,486.5,8,3.997483,96,195.5,1.185653,93,1
1328056808,0,1,1,1,0,43,46,150,8,4.119329,14,2,1.242758,2,1
1328056809,1,1,1,1,0,29,24,142,8,0.864734,12,246,2.156425,202,1
1328058512,0,2,2,4,1.86022,612,540,444.5,8,6.079823,129,248.5,3.312439,45,1
1328060353,0,1,1,1,0,107,4,241,8,0.049977,18,81,21.009264,60,1
1328060355,1,1,1,2,0.676942,15,13,425.5,8,0.007465,54,111.5,121.585146,109,1
1328060356,1,1,1,1,0,11,10,408,8,0.029734,25,83,34.631763,62,1
1328060356,1,1,1,1,0,4,4,384,8,0.037014,31,132,28.016886,128,1
1328060356,0,1,1,2,0.297472,19,38,371.5,8,1.466771,140,116.5,1.345776,95,1
1328060357,0,1,2,13,3.6753,38,1,324,8,6.610098,378,100,1.025369,84,1
1328060358,1,1,1,3,1.34724,60,49,561.333333,8,0.016852,109,174,116.410375,78,1
1328116601,0,1,1,1,0,4,1,381,8,0.172778,30,75,6.787781,73,1
1328116606,0,1,1,1,0,8,16,186,8,0.003449,14,110,290.932886,107,1
1328116606,0,1,1,1,0,5,5,401,8,0.366887,36,161,3.725638,141,1
1328116608,0,1,1,4,1.700445,14,7,408.5,8,1.16917,111,186.5,1.582501,156,1
1328116609,1,1,1,1,0,77,64,385,8,1.011007,34,160,1.989113,140,1
1328117022,1,2,2,2,0.672295,11,23,709.5,8,0.096875,77,252.5,9.317697,46,1
1328118423,0,1,1,1,0,10,12,176,8,0.056181,13,202,18.799753,95,1
